item,value,method,basis
"Poor Lanai Log",3,node,"poor roll (65%) at Lanai Tree, 28 xp"
"Fine Lanai Log",6,node,"fine roll (30%) at Lanai Tree, 28 xp"
"Excellent Lanai Log",37,node,"excellent roll (5%) at Lanai Tree, 28 xp"
"Granite Block",1,node,"Granite Rock, 6 xp"
"Ambren Ore",1,node,"Ambren Ore Node, 0 xp"
"Dense Ambren Ore",1,node,"dense roll at Ambren Ore Node (flat x2; real chance is level-scaled)"
"Burgh Ore",1,node,"Burgh Ore Node, 0 xp"
"Dense Burgh Ore",1,node,"dense roll at Burgh Ore Node (flat x2; real chance is level-scaled)"
"Bird Nest",140,byproduct,"1-in-25 byproduct of Lanai Tree"
"Rough Quartz",60,byproduct,"1-in-50 byproduct of Granite Rock"
"Rabbit Meat",18,trap,"Rabbit snare drop (100%)"
"Rabbit Fur",38,trap,"Rabbit snare drop (70%)"
"Rabbit's Foot",533,trap,"Rabbit snare drop (5%)"
"Pheasant Meat",43,trap,"Pheasant snare drop (100%)"
"Feathers",3,trap,"Pheasant snare drop (100%)"
"Prized Plume",853,trap,"Pheasant snare drop (5%)"
"Squonk Tears",600,trap,"Squonk snare drop (100%)"
"Chick",35,trap,"Nesting Hen snare drop (100%)"
"Piglet",180,trap,"Wild Sow snare drop (100%)"
"Venison",1,hunt,"Deer hunt (L1, 100%)"
"Bones",2,hunt,"Deer hunt (L1, 60%)"
"Deerhide",4,hunt,"Deer hunt (L1, 40%)"
"Antler",485,hunt,"Deer hunt (L1, 0.33%)"
"Calf",107,hunt,"Deer hunt (L1, 2%)"
"Rouncey Foal",160,hunt,"Deer hunt (L1, 1%)"
"Boar Meat",1,hunt,"Boar hunt (L9, 100%)"
"Boarhide",5,hunt,"Boar hunt (L9, 45%)"
"Boar Tusk",719,hunt,"Boar hunt (L9, 0.33%)"
"Palfrey Foal",474,hunt,"Boar hunt (L9, 0.50%)"
"Sloth Meat",1,hunt,"Ground Sloth hunt (L17, 100%)"
"Slothhide",7,hunt,"Ground Sloth hunt (L17, 60%)"
"Sloth Claw",1273,hunt,"Ground Sloth hunt (L17, 0.33%)"
"Carrot",5,crop,"Carrot: seed 1g + 120s handling over yield 3"
"Carrot Seeds",1,crop,"Carrot seed (bootstrap)"
"Onion",5,crop,"Onion: seed 1g + 120s handling over yield 3"
"Onion Seeds",1,crop,"Onion seed (bootstrap)"
"Turnip",5,crop,"Turnip: seed 1g + 120s handling over yield 3"
"Turnip Seeds",1,crop,"Turnip seed (bootstrap)"
"Peas",4,crop,"Pea: seed 1g + 120s handling over yield 4"
"Pea Seeds",1,crop,"Pea seed (bootstrap)"
"Flax",6,crop,"Flax: seed 1g + 120s handling over yield 3"
"Flax Seeds",1,crop,"Flax seed (bootstrap)"
"Strawberry",5,crop,"Strawberry: seed 1g + 120s handling over yield 4"
"Strawberry Runner",1,crop,"Strawberry seed (bootstrap)"
"Raspberry",5,crop,"Raspberry: seed 1g + 120s handling over yield 4"
"Raspberry Cane",1,crop,"Raspberry seed (bootstrap)"
"Garlic",5,crop,"Garlic: seed 1g + 120s handling over yield 3"
"Garlic Cloves",1,crop,"Garlic seed (bootstrap)"
"Grain Sheaves",3,crop,"Wild Grain: seed 1g + 120s handling over yield 5"
"Wild Grain",1,crop,"Wild Grain seed (bootstrap)"
"Egg",8,husbandry,"Chicken: feed 1g + 60s tending"
"Milk",11,husbandry,"Cow: feed 2g + 60s tending"
"Truffle",13,husbandry,"Pig: feed 2g + 60s tending"
"Poor Bearn Log",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Fine Bearn Log",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Excellent Bearn Log",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Poor Mirrith Log",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Fine Mirrith Log",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Excellent Mirrith Log",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Fine Craxial Log",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Excellent Craxial Log",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Serph Pickaxe",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Azulyss Pickaxe",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Pylerial Pickaxe",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Midrath Pickaxe",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Thaeldavast Pickaxe",31,tier-estimate,"tier 6 leaf, nominal 60s at L61 (HAND-TUNE)"
"Ghaal Pickaxe",41,tier-estimate,"tier 7 leaf, nominal 60s at L73 (HAND-TUNE)"
"Runafax Pickaxe",54,tier-estimate,"tier 8 leaf, nominal 60s at L85 (HAND-TUNE)"
"Talamir Pickaxe",72,tier-estimate,"tier 9 leaf, nominal 60s at L97 (HAND-TUNE)"
"Limestone",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Sandstone",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Marble",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Basalt",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Poor Hatch Log",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Fine Hatch Log",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Excellent Hatch Log",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Serph Ore",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Ore 3",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Ore 4",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Midrath Ore",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Ore 5",31,tier-estimate,"tier 6 leaf, nominal 60s at L61 (HAND-TUNE)"
"Ore 6",31,tier-estimate,"tier 6 leaf, nominal 60s at L61 (HAND-TUNE)"
"Ghaal Ore",41,tier-estimate,"tier 7 leaf, nominal 60s at L73 (HAND-TUNE)"
"Runafax Ore",54,tier-estimate,"tier 8 leaf, nominal 60s at L85 (HAND-TUNE)"
"Ore 7",72,tier-estimate,"tier 9 leaf, nominal 60s at L97 (HAND-TUNE)"
"Dense Serph Ore",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Dense Midrath Ore",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Dense Ghaal Ore",41,tier-estimate,"tier 7 leaf, nominal 60s at L73 (HAND-TUNE)"
"Dense Runafax Ore",54,tier-estimate,"tier 8 leaf, nominal 60s at L85 (HAND-TUNE)"
"Charc",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Koric",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Sawdust",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Lanai Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Hatch Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Bearn Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Mirrith Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Daisy",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Taiaria",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Tal's Hope",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Tarnished Coin",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Chipped Arrowhead",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Four-Leaf Clover",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Chamomile",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Dandelion",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Yarrow",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wild Strawberry",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wild Thyme",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Lavender",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Faelight Bloom",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Chanterelle Mushroom",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wild Garlic",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Acorns",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Fiddlehead Ferns",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Hazelnuts",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Morel Mushroom",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Oak Gall",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Witch's Butter",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Ghost Pipe",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Watercress",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wild Mint",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Cattail Root",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Reeds",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Meadowsweet",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Frogspawn",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wisp Cap",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Blackberries",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Raspberries",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Rosehips",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Stinging Nettle",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Bramble Vine",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Hawthorn Haw",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Elderberry",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Sloe Berries",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Blackthorn Sprig",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Hedgewitch's Sprig",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Manure",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Acorn Flour",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Chicken Meat",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Rouncey",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Palfrey",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Bucket of Milk",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Beef",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Pork",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Cowhide",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Granite",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Poor Craxial Log",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Azulyss Ore",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Dense Azulyss Ore",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Craxial Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Lanai Hunting Bow",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Wild Clover",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Willow Bark",7,tier-estimate,"tier 1 leaf, nominal 60s at L1 (HAND-TUNE)"
"Serph Hatchet",10,tier-estimate,"tier 2 leaf, nominal 60s at L13 (HAND-TUNE)"
"Azulyss Hatchet",13,tier-estimate,"tier 3 leaf, nominal 60s at L25 (HAND-TUNE)"
"Pylerial Hatchet",17,tier-estimate,"tier 4 leaf, nominal 60s at L37 (HAND-TUNE)"
"Midrath Hatchet",23,tier-estimate,"tier 5 leaf, nominal 60s at L49 (HAND-TUNE)"
"Thaeldavast Hatchet",31,tier-estimate,"tier 6 leaf, nominal 60s at L61 (HAND-TUNE)"
"Ghaal Hatchet",41,tier-estimate,"tier 7 leaf, nominal 60s at L73 (HAND-TUNE)"
"Runafax Hatchet",54,tier-estimate,"tier 8 leaf, nominal 60s at L85 (HAND-TUNE)"
"Talamir Hatchet",72,tier-estimate,"tier 9 leaf, nominal 60s at L97 (HAND-TUNE)"
"Buckskin",24,recipe,"Tan Boarhide: inputs 40g + 9g labour / 2"
"Leather Strips",5,recipe,"Cut Leather Strips: inputs 19g + 3g labour / 4"
"Foraging Basket",63,recipe,"Weave Foraging Basket: inputs 56g + 7g labour / 1"
"Grain",3,recipe,"Thresh Grain Sheaves: inputs 6g + 4g labour / 3"
"Flour",15,recipe,"Mill Flour: inputs 9g + 6g labour / 1"
"Retted Flax",10,recipe,"Ret Flax: inputs 60g + 85g labour / 15"
"Linen Fibres",29,recipe,"Scutch Flax: inputs 20g + 9g labour / 1"
"Linen Thread",62,recipe,"Spin Linen Thread: inputs 58g + 4g labour / 1"
"Linen Cloth",195,recipe,"Weave Linen Cloth: inputs 186g + 9g labour / 1"
"Straw",3,recipe,"Gather Straw: inputs 3g + 3g labour / 2"
"Halter & Lead",32,recipe,"Stitch Halter & Lead: inputs 30g + 2g labour / 1"
"Leather",19,recipe,"Tan Cowhide: inputs 49g + 9g labour / 3"
"Butter",42,recipe,"Churn Butter: inputs 33g + 9g labour / 1"
"Cheese",74,recipe,"Press Cheese: inputs 55g + 19g labour / 1"
"Leather Foraging Gloves",73,recipe,"Stitch Leather Foraging Gloves: inputs 67g + 6g labour / 1"
"Leather Boots",120,recipe,"Stitch Leather Boots: inputs 110g + 10g labour / 1"
"Lanai Planks",5,saw,"lanai_fine: inputs 6g + 4g labour / 2"
"Hatch Planks",5,saw,"hatch_excellent: inputs 10g + 6g labour / 3"
"Bearn Planks",7,saw,"bearn_excellent: inputs 13g + 9g labour / 3"
"Mirrith Planks",10,saw,"mirrith_excellent: inputs 17g + 14g labour / 3"
"Craxial Planks",15,saw,"craxial_excellent: inputs 23g + 22g labour / 3"
"Lanai Tool Rod",9,woodwork,"lanai_tool_rod: inputs 5g + 4g labour / 1"
"Lanai Staff",39,woodwork,"lanai_staff: inputs 20g + 19g labour / 1"
"Lanai Sawhorse",93,woodwork,"lanai_sawhorse: inputs 50g + 43g labour / 1"
"Ambren Ingot",11,smelt,"ambren: inputs 16g + 6g labour / 2"
"Ambren Pickaxe",47,smith,"ambren_pickaxe: inputs 36g + 11g labour / 1"
"Ambren Hatchet",47,smith,"ambren_hatchet: inputs 36g + 11g labour / 1"
"Ambren Hammer",42,smith,"ambren_hammer: inputs 31g + 11g labour / 1"
"Ambren Saw",38,smith,"ambren_saw: inputs 27g + 11g labour / 1"
"Ambren Plane",43,smith,"ambren_plane: inputs 32g + 11g labour / 1"
"Ambren Tongs",17,smith,"ambren_tongs: inputs 11g + 6g labour / 1"
"Ambren Anvil",83,smith,"ambren_anvil: inputs 55g + 28g labour / 1"
"Snare",27,recipe,"Tie Snare: inputs 20g + 7g labour / 1"
"Lanai Tanning Rack",67,recipe,"Build Tanning Rack: inputs 30g + 37g labour / 1"
"Lanai Arrow Shafts",1,recipe,"Split Arrow Shafts: inputs 5g + 2g labour / 5"
"Lanai Tanning Barrel",77,recipe,"Build Tanning Barrel: inputs 40g + 37g labour / 1"
"Ambren Foraging Knife",22,recipe,"Forge Ambren Foraging Knife: inputs 16g + 6g labour / 1"
"Ambren Nails",1,recipe,"Hammer Ambren Nails: inputs 11g + 2g labour / 30"
"Ambren Hoe",22,recipe,"Forge Ambren Hoe: inputs 16g + 6g labour / 1"
"Lanai Bucket",12,recipe,"Raise a Bucket: inputs 10g + 2g labour / 1"
"Lanai Mallet",30,recipe,"Lanai Mallet: inputs 19g + 11g labour / 1"
"Feed Pail",21,recipe,"Build Feed Pail: inputs 19g + 2g labour / 1"
"Mucking Fork",15,recipe,"Build Mucking Fork: inputs 13g + 2g labour / 1"
"Ambren Butchering Knife",33,recipe,"Forge Ambren Butchering Knife: inputs 27g + 6g labour / 1"
"Ambren Arrow",5,recipe,"Fletch Arrows: inputs 22g + 4g labour / 5"
"Fence Panel",30,recipe,"Build Fence Panel: inputs 28g + 2g labour / 1"
